ED_CODE,ED_NAMEE,ED_NAMEF,POPULATION
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,Leeds-Grenville-Thousand Islands et Rideau Lakes,104070
35051,London--Fanshawe,London--Fanshawe,127068
35052,London North Centre,London-Centre-Nord,138255
35053,London West,London-Ouest,139305
35054,Markham--Stouffville,Markham--Stouffville,135944
35055,Markham--Thornhill,Markham--Thornhill,97510
35056,Markham--Unionville,Markham--Unionville,128308
35057,Milton,Milton,136993
35058,Mississauga Centre,Mississauga-Centre,127377
35059,Mississauga East--Cooksville,Mississauga-Est--Cooksville,116346
35060,Mississauga--Erin Mills,Mississauga--Erin Mills,123371
35061,Mississauga--Lakeshore,Mississauga--Lakeshore,117095
35062,Mississauga--Malton,Mississauga--Malton,116908
35063,Mississauga--Streetsville,Mississauga--Streetsville,116864
35064,Nepean,Nepean,132769
35065,Newmarket--Aurora,Newmarket--Aurora,127134
35066,Niagara Centre,Niagara-Centre,119809
35067,Niagara Falls,Niagara Falls,146404
35068,Niagara West,Niagara-Ouest,96946
35069,Nickel Belt,Nickel Belt,94947
35070,Nipissing--Timiskaming,Nipissing--Timiskaming,89781
35071,Northumberland--Peterborough South,Northumberland--Peterborough-Sud,118756
35072,Oakville,Oakville,122322
35073,Oakville North--Burlington,Oakville-Nord--Burlington,148936
35074,Oshawa,Oshawa,131067
35075,Ottawa Centre,Ottawa-Centre,126360
35076,Orléans,Orléans,139309
35077,Ottawa South,Ottawa-Sud,125090
35078,Ottawa--Vanier,Ottawa--Vanier,118806
35079,Ottawa West--Nepean,Ottawa-Ouest--Nepean,116409
35080,Oxford,Oxford,124790
35081,Parkdale--High Park,Parkdale--High Park,106750
35082,Parry Sound--Muskoka,Parry Sound--Muskoka,104494
35083,Perth--Wellington,Perth--Wellington,113910
35084,Peterborough--Kawartha,Peterborough--Kawartha,125478
35085,Pickering--Uxbridge,Pickering--Uxbridge,120742
35086,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,107420
35087,Richmond Hill,Richmond Hill,114180
35088,Carleton,Carleton,131375
35089,St. Catharines,St. Catharines,114782
35090,Toronto--St. Paul's,Toronto--St. Paul's,116953
35091,Sarnia--Lambton,Sarnia--Lambton,107077
35092,Sault Ste. Marie,Sault Ste. Marie,79331
35093,Scarborough--Agincourt,Scarborough--Agincourt,104423
35094,Scarborough Centre,Scarborough-Centre,113104
35095,Scarborough--Guildwood,Scarborough--Guildwood,103449
35096,Scarborough North,Scarborough-Nord,94717
35097,Scarborough--Rouge Park,Scarborough--Rouge Park,102254
35098,Scarborough Southwest,Scarborough-Sud-Ouest,111994
35099,Simcoe--Grey,Simcoe--Grey,151784
35100,Simcoe North,Simcoe-Nord,120656
35101,Spadina--Fort York,Spadina--Fort York,136213
35102,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,104493
35103,Sudbury,Sudbury,95537
35104,Thornhill,Thornhill,115292
35105,Thunder Bay--Rainy River,Thunder Bay--Rainy River,82357
35106,Thunder Bay--Superior North,Thunder Bay--Supérieur-Nord,83325
35107,Timmins--James Bay,Timmins--Baie James,80785
